invoice_id,resident_id,invoice_number,invoice_date,due_date,description,amount,status,payment_id,year,month,created_at,updated_at
1,A001,INV-2025-000001,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
2,A001,INV-2025-000002,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
3,A001,INV-2025-000003,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
4,A002,INV-2023-000004,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
5,A002,INV-2023-000005,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
6,A002,INV-2024-000006,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
7,A002,INV-2025-000007,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
8,A002,INV-2025-000008,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
9,A002,INV-2025-000009,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
10,A002,INV-2025-000010,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
11,A002,INV-2025-000011,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
12,A002,INV-2025-000012,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
13,A002,INV-2025-000013,2025-01-01,2025-01-31,Excess Payment Brought Forward,110.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
14,A003,INV-2023-000014,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
15,A003,INV-2023-000015,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
16,A003,INV-2024-000016,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
17,A003,INV-2025-000017,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
18,A003,INV-2025-000018,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
19,A003,INV-2025-000019,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
20,A003,INV-2025-000020,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
21,A003,INV-2025-000021,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
22,A003,INV-2025-000022,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
23,A004,INV-2023-000023,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
24,A004,INV-2023-000024,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
25,A004,INV-2024-000025,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
26,A004,INV-2025-000026,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
27,A004,INV-2025-000027,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
28,A004,INV-2025-000028,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
29,A004,INV-2025-000029,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
30,A005,INV-2025-000030,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
31,A005,INV-2025-000031,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
32,A005,INV-2025-000032,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
33,A005,INV-2025-000033,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
34,A005,INV-2025-000034,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
35,A006,INV-2023-000035,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
36,A006,INV-2023-000036,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
37,A006,INV-2024-000037,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
38,A006,INV-2025-000038,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
39,A006,INV-2025-000039,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
40,A006,INV-2025-000040,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
41,A006,INV-2025-000041,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
42,A006,INV-2025-000042,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
43,A007,INV-2023-000043,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
44,A007,INV-2023-000044,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
45,A007,INV-2025-000045,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
46,A007,INV-2025-000046,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
47,A007,INV-2025-000047,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
48,A007,INV-2025-000048,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
49,A007,INV-2025-000049,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
50,A007,INV-2025-000050,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
51,A008,INV-2023-000051,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
52,A008,INV-2023-000052,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
53,A008,INV-2024-000053,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
54,A008,INV-2025-000054,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
55,A008,INV-2025-000055,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
56,A008,INV-2025-000056,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
57,A008,INV-2025-000057,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
58,A008,INV-2025-000058,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
59,A008,INV-2025-000059,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
60,A009,INV-2025-000060,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
61,A009,INV-2025-000061,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
62,A010,INV-2023-000062,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
63,A010,INV-2023-000063,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
64,A010,INV-2025-000064,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
65,A010,INV-2025-000065,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
66,A010,INV-2025-000066,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
67,A010,INV-2025-000067,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
68,A010,INV-2025-000068,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
69,A011,INV-2025-000069,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
70,A011,INV-2025-000070,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
71,A011,INV-2025-000071,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
72,A011,INV-2025-000072,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
73,A011,INV-2025-000073,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
