resident_id,payment_date,description,amount,year,sheet_name
A001,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A001,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A001,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A002,,Membership Fee,10.0,2023,Fee Halya 1
A002,,Annual Fee 2023,50.0,2023,Fee Halya 1
A002,,Annual Fee 2024,50.0,2024,Fee Halya 1
A002,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A002,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A002,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A002,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A002,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A002,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A002,,Excess Payment Brought Forward,110.0,2025,Fee Halya 1
A003,,Membership Fee,10.0,2023,Fee Halya 1
A003,,Annual Fee 2023,50.0,2023,Fee Halya 1
A003,,Annual Fee 2024,50.0,2024,Fee Halya 1
A003,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A003,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A003,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A003,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A003,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A003,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A004,,Membership Fee,10.0,2023,Fee Halya 1
A004,,Annual Fee 2023,50.0,2023,Fee Halya 1
A004,,Annual Fee 2024,50.0,2024,Fee Halya 1
A004,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A004,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A004,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A004,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A005,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A005,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A005,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A005,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A005,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A006,,Membership Fee,10.0,2023,Fee Halya 1
A006,,Annual Fee 2023,50.0,2023,Fee Halya 1
A006,,Annual Fee 2024,50.0,2024,Fee Halya 1
A006,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A006,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A006,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A006,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A006,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A007,,Membership Fee,10.0,2023,Fee Halya 1
A007,,Annual Fee 2023,50.0,2023,Fee Halya 1
A007,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A007,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A007,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A007,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A007,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A007,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A008,,Membership Fee,10.0,2023,Fee Halya 1
A008,,Annual Fee 2023,50.0,2023,Fee Halya 1
A008,,Annual Fee 2024,50.0,2024,Fee Halya 1
A008,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A008,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A008,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A008,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A008,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A008,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A009,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A009,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A010,,Membership Fee,10.0,2023,Fee Halya 1
A010,,Annual Fee 2023,50.0,2023,Fee Halya 1
A010,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A010,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A010,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A010,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A010,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A011,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A011,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A011,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A011,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A011,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A011,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A011,,Excess Payment Brought Forward,115.0,2025,Fee Halya 1
A012,,Membership Fee,10.0,2023,Fee Halya 1
A012,,Annual Fee 2023,50.0,2023,Fee Halya 1
A012,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A012,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A012,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A012,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A012,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A012,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A012,,Excess Payment Brought Forward,5.0,2025,Fee Halya 1
A013,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A013,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A013,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A014,,Membership Fee,10.0,2023,Fee Halya 1
A014,,Annual Fee 2023,50.0,2023,Fee Halya 1
A014,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A014,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A014,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A014,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A014,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A014,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A014,,Excess Payment Brought Forward,5.0,2025,Fee Halya 1
A015,,Membership Fee,10.0,2023,Fee Halya 1
A015,,Annual Fee 2023,50.0,2023,Fee Halya 1
A015,,Annual Fee 2024,100.0,2024,Fee Halya 1
A015,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A015,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A015,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A015,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A015,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A015,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A016,,Membership Fee,10.0,2023,Fee Halya 1
A016,,Annual Fee 2023,50.0,2023,Fee Halya 1
A016,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A016,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A016,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A016,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A016,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A016,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A017,,Membership Fee,10.0,2023,Fee Halya 1
A017,,Annual Fee 2023,50.0,2023,Fee Halya 1
A017,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A017,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A017,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A017,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A017,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A017,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A017,,Excess Payment Brought Forward,55.0,2025,Fee Halya 1
A018,,Membership Fee,10.0,2023,Fee Halya 1
A018,,Annual Fee 2023,7747.540000000001,2023,Fee Halya 1
A018,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A018,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A018,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A018,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A018,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A018,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A022,,Membership Fee,10.0,2023,Fee Halya 1
A022,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A022,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A022,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A022,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A022,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A023,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A023,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A023,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A023,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A024,,Membership Fee,10.0,2023,Fee Halya 1
A024,,Annual Fee 2023,50.0,2023,Fee Halya 1
A024,,Annual Fee 2024,50.0,2024,Fee Halya 1
A024,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A024,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A024,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A024,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A024,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A024,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A025,,Membership Fee,10.0,2023,Fee Halya 1
A025,,Annual Fee 2023,50.0,2023,Fee Halya 1
A025,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A025,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A025,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A025,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A025,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
A025,,Guard Fee - August 2025,55.0,2025,Fee Halya 1
A026,,Membership Fee,10.0,2023,Fee Halya 1
A026,,Annual Fee 2023,50.0,2023,Fee Halya 1
A026,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A026,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A026,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A026,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A027,,Membership Fee,10.0,2023,Fee Halya 1
A027,,Annual Fee 2023,50.0,2023,Fee Halya 1
A027,,Annual Fee 2024,50.0,2024,Fee Halya 1
A027,,Guard Fee - Raya,30.0,2025,Fee Halya 1
A027,,Guard Fee - April 2025,30.0,2025,Fee Halya 1
A027,,Guard Fee - May 2025,30.0,2025,Fee Halya 1
A027,,Guard Fee - June 2025,30.0,2025,Fee Halya 1
A027,,Guard Fee - July 2025,30.0,2025,Fee Halya 1
